stack	version	avd	run	frames	janky	janky_pct	p50_ms	p90_ms	p95_ms	p99_ms	webviews	render_target_mb	pss_kb	rss_kb
Google WebView	145.0.7632.218	ChatGPT_API_37_Root	1	207	171	82.61	150	250	250	300	149	165.50	376159	565752
Google WebView	145.0.7632.218	ChatGPT_API_37_Root	2	214	174	81.31	150	250	250	650	149	165.50	390524	578996
Vanadium	151.0.7922.47.1	ChatGPT_API_37_Root	1	216	169	78.24	150	250	300	300	149	166.31	403711	599248
Vanadium	151.0.7922.47.1	ChatGPT_API_37_Root	2	216	171	79.17	150	250	250	300	149	165.50	403335	597936
Vanadium	150.0.7871.124.0	ChatGPT_API_37_Root	1	204	180	88.24	150	250	250	300	149	165.50	399813	595468
Vanadium	150.0.7871.124.0	ChatGPT_API_37_Root	2	218	177	81.19	150	250	300	300	149	165.50	398247	594168
