test_id	date	avd	api	android_fingerprint	webview_version	webview_version_code	webview_apk_sha256	gate_id	gate_value	display_blocks	aligned_environments	rows_per_block	total_equation_rows	webviews	run	frames	janky_frames	janky_percent	p50_ms	p90_ms	p95_ms	p99_ms	pss_kb	rss_kb	response_chars	response_sha256	database_sha256	input_profile	provider_verified	valid	notes
api37_wv145_group12x10_r1	2026-07-31	ChatGPT_API_37_Matched_5590	37	google/sdk_gphone64_x86_64/emu64xa:17/CE2A.260420.019/15611780:userdebug/dev-keys	145.0.7632.218	763221809	fbecca2ebb7f369237db9e178655980639b24ace1684283f25ef88ac7f27448f	3320767387	false	12	12	10	120	12	1	603	6	1.00	16	16	16	16	210477	395788	3526	7782e4ec5f5520eba49aeacad55727561b3dd86389020b6b93013aef346fc6d1	f422db063be3915c4f7373807f9702c7a2ac63817b1bc4f6270aacb66d102a1b	gfx-reset; 24 up/down pairs; 48 swipes; 180ms	current-preferred-valid-145-relro1of1	true	120 repeated x_i^2+y_i^2=z_i^2 rows; final condition memory repeated
api37_wv145_group12x10_r2	2026-07-31	ChatGPT_API_37_Matched_5590	37	google/sdk_gphone64_x86_64/emu64xa:17/CE2A.260420.019/15611780:userdebug/dev-keys	145.0.7632.218	763221809	fbecca2ebb7f369237db9e178655980639b24ace1684283f25ef88ac7f27448f	3320767387	false	12	12	10	120	12	2	585	0	0.00	16	16	16	16	210477	395788	3526	7782e4ec5f5520eba49aeacad55727561b3dd86389020b6b93013aef346fc6d1	f422db063be3915c4f7373807f9702c7a2ac63817b1bc4f6270aacb66d102a1b	gfx-reset; 24 up/down pairs; 48 swipes; 180ms	current-preferred-valid-145-relro1of1	true	120 repeated x_i^2+y_i^2=z_i^2 rows; final condition memory repeated
api37_wv145_group12x10_r3	2026-07-31	ChatGPT_API_37_Matched_5590	37	google/sdk_gphone64_x86_64/emu64xa:17/CE2A.260420.019/15611780:userdebug/dev-keys	145.0.7632.218	763221809	fbecca2ebb7f369237db9e178655980639b24ace1684283f25ef88ac7f27448f	3320767387	false	12	12	10	120	12	3	582	0	0.00	16	16	16	16	210477	395788	3526	7782e4ec5f5520eba49aeacad55727561b3dd86389020b6b93013aef346fc6d1	f422db063be3915c4f7373807f9702c7a2ac63817b1bc4f6270aacb66d102a1b	gfx-reset; 24 up/down pairs; 48 swipes; 180ms	current-preferred-valid-145-relro1of1	true	120 repeated x_i^2+y_i^2=z_i^2 rows; final condition memory repeated
api37_wv145_group1x120_r1	2026-07-31	ChatGPT_API_37_Matched_5590	37	google/sdk_gphone64_x86_64/emu64xa:17/CE2A.260420.019/15611780:userdebug/dev-keys	145.0.7632.218	763221809	fbecca2ebb7f369237db9e178655980639b24ace1684283f25ef88ac7f27448f	3320767387	false	1	1	120	120	1	1	597	1	0.17	16	16	16	16	204424	390352	5001	763fefbbc937962c7c856d2dc40932dbe53a03e31be2a7a8a1fac64d64d1b8f1	995fceb0b27e036f358f27bb6010acb9e3e7dabe6e55b43e39859d43fb87a32a	gfx-reset; 24 up/down pairs; 48 swipes; 180ms	current-preferred-valid-145-relro1of1	true	one tall block with numeric subscripts 1 through 120; final condition memory repeated
api37_wv145_group1x120_r2	2026-07-31	ChatGPT_API_37_Matched_5590	37	google/sdk_gphone64_x86_64/emu64xa:17/CE2A.260420.019/15611780:userdebug/dev-keys	145.0.7632.218	763221809	fbecca2ebb7f369237db9e178655980639b24ace1684283f25ef88ac7f27448f	3320767387	false	1	1	120	120	1	2	583	5	0.86	16	16	16	16	204424	390352	5001	763fefbbc937962c7c856d2dc40932dbe53a03e31be2a7a8a1fac64d64d1b8f1	995fceb0b27e036f358f27bb6010acb9e3e7dabe6e55b43e39859d43fb87a32a	gfx-reset; 24 up/down pairs; 48 swipes; 180ms	current-preferred-valid-145-relro1of1	true	one tall block with numeric subscripts 1 through 120; final condition memory repeated
api37_wv145_group1x120_r3	2026-07-31	ChatGPT_API_37_Matched_5590	37	google/sdk_gphone64_x86_64/emu64xa:17/CE2A.260420.019/15611780:userdebug/dev-keys	145.0.7632.218	763221809	fbecca2ebb7f369237db9e178655980639b24ace1684283f25ef88ac7f27448f	3320767387	false	1	1	120	120	1	3	581	0	0.00	16	16	16	16	204424	390352	5001	763fefbbc937962c7c856d2dc40932dbe53a03e31be2a7a8a1fac64d64d1b8f1	995fceb0b27e036f358f27bb6010acb9e3e7dabe6e55b43e39859d43fb87a32a	gfx-reset; 24 up/down pairs; 48 swipes; 180ms	current-preferred-valid-145-relro1of1	true	one tall block with numeric subscripts 1 through 120; final condition memory repeated
